epoch:111	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:112	Accuracy:98.80952380952381	Average precision:98.81481042444909	Average recall:98.7407490134942
epoch:113	Accuracy:98.9047619047619	Average precision:98.90415392532438	Average recall:98.85909220876047
epoch:114	Accuracy:98.76190476190476	Average precision:98.74494390758805	Average recall:98.716587277794
epoch:115	Accuracy:98.80952380952381	Average precision:98.81052337536524	Average recall:98.74644467529846
epoch:116	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:117	Accuracy:98.85714285714286	Average precision:98.8559573377361	Average recall:98.79992061112735
epoch:118	Accuracy:98.85714285714286	Average precision:98.8559573377361	Average recall:98.79992061112735
epoch:119	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:120	Accuracy:98.80952380952381	Average precision:98.79250134976817	Average recall:98.75825394446068
epoch:121	Accuracy:98.9047619047619	Average precision:98.90415392532438	Average recall:98.85909220876047
epoch:122	Accuracy:98.76190476190476	Average precision:98.76783006140846	Average recall:98.69296873946958
epoch:123	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:124	Accuracy:98.71428571428571	Average precision:98.69576014393473	Average recall:98.67492061112733
epoch:125	Accuracy:98.80952380952381	Average precision:98.81052337536524	Average recall:98.74644467529846
epoch:126	Accuracy:98.80952380952381	Average precision:98.7831851285446	Average recall:98.78017515806923
epoch:127	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:128	Accuracy:98.80952380952381	Average precision:98.79248637203969	Average recall:98.74644467529846
epoch:129	Accuracy:98.80952380952381	Average precision:98.77927735802021	Average recall:98.75825394446068
epoch:130	Accuracy:98.80952380952381	Average precision:98.78274125206727	Average recall:98.77575887542716
epoch:131	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
epoch:132	Accuracy:98.80952380952381	Average precision:98.79248637203969	Average recall:98.74644467529846
epoch:133	Accuracy:98.80952380952381	Average precision:98.81481042444909	Average recall:98.7407490134942
epoch:134	Accuracy:98.80952380952381	Average precision:98.78272775790455	Average recall:98.76394960626493
epoch:135	Accuracy:98.9047619047619	Average precision:98.88646491578302	Average recall:98.85909220876047
